dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1
Cervical Cancer,GradientBoosting,2,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,Slacks Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,2,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,Min Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,2,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,F Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,2,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,CP Sum,True,0.5,0.0,0.0,0.0,1.0,0.06792444113571348,1.0,0.006996748374187095,0.0005,True,True
Cervical Cancer,GradientBoosting,2,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,CP Minimax,True,0.48214285714285715,0.46565731465733207,0.5396825396825397,0.6428571428571429,0.39285714285714285,0.758606390119809,0.7245911975357209,0.03648199099549775,0.16441795897948977,True,True
Cervical Cancer,GradientBoosting,2,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,DKW Sum,True,0.5,0.0,0.0,0.0,1.0,0.12064954386761441,1.0,0.016491995997999002,0.0005,True,True
Cervical Cancer,GradientBoosting,2,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,DKW Minimax,True,0.48214285714285715,0.46565731465733207,0.5396825396825397,0.6428571428571429,0.39285714285714285,0.7238579741791434,0.6314744928544731,0.060469984992496256,0.20189919959979993,True,True
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,Baseline,True,0.5535714285714286,0.3711537444790451,0.24242424242424243,0.03571428571428571,0.8571428571428571,,,,,,
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,Threshold,True,0.5357142857142857,0.4531634835874829,0.35000000000000003,0.17857142857142858,0.75,,,,,,
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,SMOTE,True,0.5178571428571429,0.18898223650461363,0.0689655172413793,0.0,0.9642857142857143,,,,,,
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,Balanced Weights,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,Slacks Deltas,True,0.5714285714285714,0.5297284633639759,0.45454545454545453,0.21428571428571427,0.6428571428571429,,,,,,
