dataset,model,seed,mode,method,optimism,n_cert,n_cert_minority,test_per_class,cls,covered,U,delta,nominal
Abalone Gender,GradientBoosting,8,naive,CP Sum,0.2414577018462386,840,76,764,0,0.0,0.1173362782962924,0.0029987493746873,0.9970012506253128
Abalone Gender,GradientBoosting,8,naive,CP Minimax,0.2414577018462386,840,76,764,0,0.0,0.139480901938105,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,8,naive,DKW Sum,0.2414577018462386,840,76,764,0,0.0,0.0992963408656802,0.0064969984992496,0.9935030015007504
Abalone Gender,GradientBoosting,8,naive,DKW Minimax,0.2414577018462386,840,76,764,0,0.0,0.1774064338220629,0.006996748374187,0.993003251625813
Abalone Gender,GradientBoosting,8,split,CP Sum,0.336734693877551,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,8,split,CP Minimax,0.336734693877551,294,27,764,0,1.0,0.6641218798817079,0.0204899949974987,0.9795100050025013
Abalone Gender,GradientBoosting,8,split,DKW Sum,0.336734693877551,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,GradientBoosting,8,split,DKW Minimax,0.336734693877551,294,27,764,0,1.0,0.631410766460757,0.0304849924962481,0.9695150075037519
Abalone Gender,GradientBoosting,9,naive,CP Sum,0.2223753100027555,840,76,764,0,0.0,0.054919207728802,0.0019992496248124,0.9980007503751877
Abalone Gender,GradientBoosting,9,naive,CP Minimax,0.2223753100027555,840,76,764,0,0.0,0.1779614408110615,0.0039982491245622,0.9960017508754379
Abalone Gender,GradientBoosting,9,naive,DKW Sum,0.2223753100027555,840,76,764,0,0.0,0.078808330751125,0.0059972486243121,0.9940027513756879
Abalone Gender,GradientBoosting,9,naive,DKW Minimax,0.2223753100027555,840,76,764,0,0.0,0.1852598369634241,0.006996748374187,0.993003251625813
Abalone Gender,GradientBoosting,9,split,CP Sum,0.3818650496847954,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,9,split,CP Minimax,0.3818650496847954,294,27,764,0,0.0,0.6501657142402715,0.0199902451225612,0.9800097548774388
Abalone Gender,GradientBoosting,9,split,DKW Sum,0.3818650496847954,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,GradientBoosting,9,split,DKW Minimax,0.3818650496847954,294,27,764,0,0.0,0.6132661260855669,0.0289857428714357,0.9710142571285643
Abalone Gender,LDA,0,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,LDA,0,naive,CP Minimax,0.0,840,76,764,0,1.0,0.5456093384653922,0.0089957478739369,0.9910042521260631
Abalone Gender,LDA,0,naive,DKW Sum,0.0,840,76,764,0,1.0,0.5271367655752282,0.0129937468734367,0.9870062531265633
Abalone Gender,LDA,0,naive,DKW Minimax,0.0,840,76,764,0,1.0,0.5142879359499201,0.0124939969984992,0.9875060030015008
Abalone Gender,LDA,0,split,CP Sum,0.0006544502617801,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,LDA,0,split,CP Minimax,0.0006544502617801,294,27,764,0,1.0,0.688277102087895,0.0214894947473736,0.9785105052526264
Abalone Gender,LDA,0,split,DKW Sum,0.0006544502617801,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,LDA,0,split,DKW Minimax,0.0006544502617801,294,27,764,0,1.0,0.6493984246188601,0.032483991995998,0.967516008004002
Abalone Gender,LDA,1,naive,CP Sum,-0.0006544502617801,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,LDA,1,naive,CP Minimax,-0.0006544502617801,840,76,764,0,1.0,0.593149027601415,0.0094954977488744,0.9905045022511256
Abalone Gender,LDA,1,naive,DKW Sum,-0.0006544502617801,840,76,764,0,1.0,0.8009721831388819,0.0339832416208104,0.9660167583791897
Abalone Gender,LDA,1,naive,DKW Minimax,-0.0006544502617801,840,76,764,0,1.0,0.5517737392369457,0.0134934967483741,0.9865065032516259
Abalone Gender,LDA,1,split,CP Sum,-0.0006544502617801,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,LDA,1,split,CP Minimax,-0.0006544502617801,294,27,764,0,1.0,0.6537076808529065,0.0199902451225612,0.9800097548774388
Abalone Gender,LDA,1,split,DKW Sum,-0.0006544502617801,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,LDA,1,split,DKW Minimax,-0.0006544502617801,294,27,764,0,1.0,0.5697880023573093,0.0254874937468734,0.9745125062531266
