dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,reason,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1,seconds
MIMIC-III Mortality,GradientBoosting,3,naive,3648,331,10.021148036253777,19,0.3824767038245712,0.46365638766519823,0.08117968384062701,CP Minimax,True,,0.6629955947136564,0.6613800622321168,0.6466512702078522,0.2907488986784141,0.3832599118942731,0.30432593046066425,0.2992535183336072,0.002498999499749875,0.008495997998999501,True,False,0.41
MIMIC-III Mortality,GradientBoosting,3,naive,3648,331,10.021148036253777,19,0.3824767038245712,0.46365638766519823,0.08117968384062701,DKW Sum,True,,0.6464757709251101,0.6197613223832494,0.5668016194331984,0.1696035242290749,0.5374449339207048,0.1577204782338866,0.3787472558036238,0.002998749374687344,0.014992746373186596,False,False,0.121
MIMIC-III Mortality,GradientBoosting,3,naive,3648,331,10.021148036253777,19,0.3824767038245712,0.46365638766519823,0.08117968384062701,DKW Minimax,True,,0.6607929515418502,0.6579085357742545,0.6384976525821596,0.2775330396475771,0.4008810572687225,0.2857545678569406,0.283416033031774,0.003498499249624813,0.012993746873436721,True,False,0.119
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,Baseline,True,,0.5187224669603524,0.22814109914051195,0.09896907216494845,0.015418502202643172,0.947136563876652,,,,,,,
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,Threshold,True,,0.6189427312775331,0.5946198327034786,0.5398936170212766,0.2092511013215859,0.552863436123348,,,,,,,
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,SMOTE,True,,0.5209251101321586,0.26910134336497554,0.13518886679920478,0.03303964757709251,0.9251101321585903,,,,,,,
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,Slacks Deltas,False,,,,,,,,,,,,,7.14
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,Min Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,F Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,CP Sum,True,,0.6035242290748899,0.5347798078069268,0.44954128440366975,0.11674008810572688,0.6762114537444934,0.16522980444577023,0.7505514559141617,0.002998749374687344,0.03998024012006003,True,True,1.459
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,CP Minimax,True,,0.6244493392070485,0.6241686041984473,0.6313513513513513,0.394273127753304,0.3568281938325991,0.48267494952199314,0.4856458619640472,0.005997248624312156,0.023488494247123563,True,True,1.469
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,DKW Sum,True,,0.6233480176211453,0.6135418964638446,0.5767326732673267,0.2665198237885463,0.486784140969163,0.3209917443878715,0.5327669496031305,0.006996748374187095,0.03748149074537269,True,True,0.033
MIMIC-III Mortality,GradientBoosting,3,split,1277,116,10.021148036253777,19,0.3558139534883721,0.4812775330396476,0.12546357955127552,DKW Minimax,True,,0.6244493392070485,0.6243706684238441,0.6281352235550709,0.3854625550660793,0.3656387665198238,0.44497071152862655,0.441624997626349,0.008495997998999501,0.03048499249624813,True,True,0.036
MIMIC-III Mortality,GradientBoosting,4,naive,3648,331,10.021148036253777,19,0.37915407854984895,0.4779735682819383,0.09881948973208937,Baseline,True,,0.5220264317180616,0.24614475849689854,0.11428571428571428,0.01762114537444934,0.9383259911894273,,,,,,,
MIMIC-III Mortality,GradientBoosting,4,naive,3648,331,10.021148036253777,19,0.37915407854984895,0.4779735682819383,0.09881948973208937,Threshold,True,,0.5947136563876652,0.5599177864425845,0.4931129476584022,0.20484581497797358,0.6057268722466961,,,,,,,
MIMIC-III Mortality,GradientBoosting,4,naive,3648,331,10.021148036253777,19,0.37915407854984895,0.4779735682819383,0.09881948973208937,SMOTE,True,,0.5363436123348018,0.32845243042041744,0.1950286806883365,0.039647577092511016,0.8876651982378855,,,,,,,
MIMIC-III Mortality,GradientBoosting,4,naive,3648,331,10.021148036253777,19,0.37915407854984895,0.4779735682819383,0.09881948973208937,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,GradientBoosting,4,naive,3648,331,10.021148036253777,19,0.37915407854984895,0.4779735682819383,0.09881948973208937,Slacks Deltas,False,,,,,,,,,,,,,117.248
MIMIC-III Mortality,GradientBoosting,4,naive,3648,331,10.021148036253777,19,0.37915407854984895,0.4779735682819383,0.09881948973208937,Min Deltas,True,,0.6013215859030837,0.5885345497266352,0.5452261306532663,0.2753303964757709,0.5220264317180616,,,,,,,8.351
MIMIC-III Mortality,GradientBoosting,4,naive,3648,331,10.021148036253777,19,0.37915407854984895,0.4779735682819383,0.09881948973208937,F Deltas,True,,0.5914096916299559,0.5466195319678531,0.4722617354196302,0.1828193832599119,0.6343612334801763,,,,,,,0.038
MIMIC-III Mortality,GradientBoosting,4,naive,3648,331,10.021148036253777,19,0.37915407854984895,0.4779735682819383,0.09881948973208937,CP Sum,True,,0.5947136563876652,0.5599177864425845,0.4931129476584022,0.20484581497797358,0.6057268722466961,0.13281871614077748,0.40327021490148396,0.0014994997498749376,0.010994747373686845,False,False,0.41
MIMIC-III Mortality,GradientBoosting,4,naive,3648,331,10.021148036253777,19,0.37915407854984895,0.4779735682819383,0.09881948973208937,CP Minimax,True,,0.6211453744493393,0.6188917783595469,0.6,0.32599118942731276,0.43171806167400884,0.28363636686139093,0.2786621763671249,0.0019992496248124065,0.008495997998999501,False,False,0.403
